(p) R,R (2),R (5),(p) G,G (2),G (5),(p) B,B (2),B (5),(p) GreyScale,GreyScale (2),GreyScale (5),garut,solo
33,96,117,24,59,71,16,31,35,25,67,81,0,1
221,182,169,95,128,99,205,73,41,186,138,113,1,0
216,86,79,217,105,99,220,133,129,216,103,96,1,0
225,217,220,101,103,103,142,140,142,223,141,142,1,0
115,86,76,69,53,45,33,27,22,23,60,52,0,1
175,118,35,30,66,24,29,34,16,29,78,26,0,1
18,205,213,12,207,214,14,211,217,13,207,214,0,1
79,130,120,101,153,144,131,113,103,130,142,132,1,0
121,212,223,146,185,200,106,198,211,144,195,208,1,0
84,33,20,51,21,13,25,20,15,48,24,15,0,1
